NOMREG;NOMDEP;NOM DU MUSEE;ADR;CP;VILLE;SITWEB
AUVERGNE;CANTAL;Ecomusée de Margeride-Haute-Auvergne;"La Tour
Jardin de Saint-Martin";15320;RUYNES-EN-MARGERIDE;http://www.saint-flour.fr/culture/musees/ecomusee-margeride.php
AUVERGNE;CANTAL;Musée d'art et d'histoire Alfred Douët;"Maison consulaire
17, Place d'Armes";15100;SAINT-FLOUR;Site de la ville
AUVERGNE;CANTAL;Musée de la Haute Auvergne;"Palais épiscopal
1, Place d'Armes";15100;SAINT-FLOUR;www.auvergne-centrefrance.com/geotouring/musees/detail/mus154.htm
AUVERGNE;HAUTE-LOIRE;Musée de Paléontologie;Place de l'église;43380;CHILHAC;http://www.museechilhac.fr
AUVERGNE;HAUTE-LOIRE;Musée des Arts et Traditions Populaires de Haute Loire;;43100;LAVAUDIEU;Site des amis de Lavaudieu - www.abbayedelavaudieu.fr
AUVERGNE;HAUTE-LOIRE;Musée Crozatier;Jardin Henri Vinay;43000;LE PUY-EN-VELAY;www.lepuyenvelay.fr
AUVERGNE;HAUTE-LOIRE;Musée des Manufactures de Dentelles;14, avenue de la Gare;43130;RETOURNAC;www.ville-retournac.fr/musee/francais/indexfr.htm
AUVERGNE;HAUTE-LOIRE;Musée de la Ferblanterie;;43300;SAINT ARCONS D'ALLIER;
AUVERGNE;PUY DE DÔME;Musée de la Dentelle;53, Route Nationale;63220;ARLANC;www.arlanc.com/musee_dentelle.htm
AUVERGNE;PUY DE DÔME;Musée d'Archéologie Bargoin;45, rue Ballainvilliers;63000;CLERMONT-FERRAND;www.clermont-ferrand.fr/-Musee-Bargoin-.html
AUVERGNE;PUY DE DÔME;Musée d'Art Roger-Quillot;"Quartier historique de Montferrand
Place Louis Deteix";63100;CLERMONT-FERRAND;http://museedart.clermont-ferrand.fr
AUVERGNE;PUY DE DÔME;Muséum d'Histoire Naturelle Henri-Lecoq;15, rue Bardoux;63000;CLERMONT-FERRAND;www.museelecoq.clermont-ferrand.fr ou www.clermont-ferrand.fr/-Museum-Henri-Lecoq-.html
AUVERGNE;PUY DE DÔME;Musée Départemental de la Céramique Gallo-Romaine;"39, Rue de la République
B.P. 30";63190;LEZOUX;"www.puydedome.fr rubrique ""découvrir le Puy-de-Dôme"""
AUVERGNE;PUY DE DÔME;Musée des Pénitents Blancs;Place de l'Eglise;63940;MARSAC-EN-LIVRADOIS;www.livradois.com/marsac/penitent/index.htm
AUVERGNE;PUY DE DÔME;Musée Paléontologique;Le Bourg;63560;MENAT;
AUVERGNE;PUY DE DÔME;Musée Lapidaire;Place de l'Abbaye;63200;MOZAC;www.riom-communaute.fr
AUVERGNE;PUY DE DÔME;Musée Municipal;Parc du Prélong;63790;MUROL;www.musee-murol.net/Musee.htm
AUVERGNE;PUY DE DÔME;Musée Régional d'Auvergne;10 bis, Rue Delile;63200;RIOM;www.riom-communaute.fr
AUVERGNE;PUY DE DÔME;Musée Francisque Mandet;14, Rue de l'Hôtel de Ville;63200;RIOM;www.riom-communaute.fr
AUVERGNE;PUY DE DÔME;Musée Municipal de la Coutellerie;58, Rue de la Coutellerie;63300;THIERS;www.ville-thiers.fr/Musee-de-la-Coutellerie
AUVERGNE;PUY DE DÔME;Musée Municipal Marcel Sahut;2, rue des Ecoles;63530;VOLVIC;www.volvic-tourisme.com/HTML/sites/site_musee.htm
BOURGOGNE;CÔTE D’OR;Muséoparc - Alésia;1, Route des Trois Ormeaux;21150;ALISE-SAINTE-REINE;www.alesia.com
BOURGOGNE;CÔTE D’OR;Musée Bonaparte;"Bibliothèque Municipale
Passage Xavier Girault";21130;AUXONNE;Site des musées de la région ou site de la ville
BOURGOGNE;CÔTE D’OR;Musée des Beaux-Arts;"Porte Marie de Bourgogne
6, boulevard Perpreuil";21200;BEAUNE;www.musees-bourgogne.org ou www.beaune.fr
BOURGOGNE;CÔTE D’OR;Musée E.J Marey;Hôtel de Ville;21200;BEAUNE;www.musees-bourgogne.org
BOURGOGNE;CÔTE D’OR;Musée du Vin de Bourgogne;"Hôtel des Ducs
Rue d'Enfer";21200;BEAUNE;www.musees-bourgogne.org ou www.beaune.fr
BOURGOGNE;CÔTE D’OR;Musée de la Sidérurgie Grande Forge;La Grande Forge;21500;BUFFON;
BOURGOGNE;CÔTE D’OR;Musée du Pays Châtillonnais - Trésor de Vix;14, Rue de la Libération;21400;CHATILLON-SUR-SEINE;www.musee-vix.fr
BOURGOGNE;CÔTE D’OR;Musée Magnin;4, rue des Bons Enfants;21000;DIJON;www.musee-magnin.fr
BOURGOGNE;CÔTE D’OR;Musée de la Vie Bourguignonne, Perrin de Puycousin;"Monastère des Bernardines
15-17, rue Sainte-Anne";21000;DIJON;www.musees-bourgogne.org
BOURGOGNE;CÔTE D’OR;Musée François Rude;8, Rue Vaillant;21000;DIJON;http://mba.dijon.fr ou www.ville-dijon.fr
BOURGOGNE;CÔTE D’OR;Musée d'Art Sacré;"Monastère des Bernardines
15-17, rue Sainte-Anne";21000;DIJON;Site des musées de Bourgogne
BOURGOGNE;CÔTE D’OR;Muséum - Jardin des Sciences;"Parc de l'Arquebuse
14, Rue Jehan de Marville - 1 Avenue Albert 1er";21000;DIJON;www.dijon.fr
BOURGOGNE;CÔTE D’OR;Musée Archéologique;"5, Rue du Docteur Maret
CS 73310";21033;DIJON;Site des musées de Bourgogne - www.musees-bourgogne.org
BOURGOGNE;CÔTE D’OR;Musée des Beaux-Arts;"Palais des Ducs et des Etats de Bourgogne
CS 73310";21033;DIJON;http://mba.dijon.fr ou www.ville-dijon.fr
BOURGOGNE;CÔTE D’OR;Musée Noisot;Mairie de Fixin;21220;FIXIN;Site des musée de Bourgogne
BOURGOGNE;CÔTE D’OR;Musée des Arts et Traditions des Hautes-Côtes;1 PLACE DE LA FONTAINE;21220;GEVREY-CHAMBERTIN - Reulle Vergy;
BOURGOGNE;CÔTE D’OR;Musée des Beaux-Arts;"Chapelle des Ursulines
Rue Piron";21500;MONTBARD;http://www.montbard.com/
BOURGOGNE;CÔTE D’OR;Musée Buffon;"Anciennes Ecuries de Buffon
B.P. 90";21506;MONTBARD;http://www.montbard.com/ ou Site des musées de Bourgogne
BOURGOGNE;CÔTE D’OR;Musée Municipal;12, Rue Camille Rodier;21700;NUITS-SAINT-GEORGES;Site des musées de Bourgogne
BOURGOGNE;CÔTE D’OR;Musée Municipal François Pompon;3, Place du Docteur Roclore;21210;SAULIEU;Site des musées de Bourgogne ou www.saulieu.fr
BOURGOGNE;CÔTE D’OR;Musée Municipal;3, Rue Jean-Jacques Collenot;21140;SEMUR-EN-AUXOIS;Site des musées de Bourgogne
BOURGOGNE;NIÈVRE;Musée du Septennat;6, rue du Château;58120;CHATEAU-CHINON;www.cg58.fr
BOURGOGNE;NIÈVRE;Musée du Costume;16-18, rue Saint Christophe;58120;CHATEAU-CHINON;www.cg58.fr/patrimoi/costu.htm
